date_rptd,count,y_hat,crimen,zona
2021-02-27,22.0,23.0,104,1
2021-02-28,26.0,27.0,104,1
2021-03-01,35.0,35.0,104,1
2021-03-02,35.0,36.0,104,1
2021-03-03,37.0,37.0,104,1
2021-03-04,25.0,26.0,104,1
2021-03-05,29.0,29.0,104,1
2021-03-06,23.0,24.0,104,1
2021-03-07,26.0,27.0,104,1
2021-03-08,33.0,34.0,104,1
2021-03-09,34.0,34.0,104,1
2021-03-10,20.0,21.0,104,1
2021-03-11,43.0,43.0,104,1
2021-03-12,28.0,29.0,104,1
2021-03-13,39.0,39.0,104,1
2021-03-14,20.0,22.0,104,1
2021-03-15,28.0,28.0,104,1
2021-03-16,36.0,36.0,104,1
2021-03-17,38.0,38.0,104,1
2021-03-18,31.0,32.0,104,1
2021-03-19,32.0,33.0,104,1
2021-03-20,33.0,33.0,104,1
2021-03-21,29.0,29.0,104,1
2021-03-22,32.0,32.0,104,1
2021-03-23,25.0,26.0,104,1
2021-03-24,38.0,38.0,104,1
2021-03-25,29.0,29.0,104,1
2021-03-26,34.0,34.0,104,1
2021-03-27,29.0,30.0,104,1
2021-03-28,28.0,29.0,104,1
2021-03-29,44.0,44.0,104,1
2021-03-30,40.0,39.0,104,1
2021-03-31,31.0,31.0,104,1
2021-04-01,52.0,52.0,104,1
2021-04-02,20.0,21.0,104,1
2021-04-03,27.0,27.0,104,1
2021-04-04,29.0,28.0,104,1
2021-04-05,38.0,38.0,104,1
2021-04-06,40.0,40.0,104,1
2021-04-07,38.0,38.0,104,1
2021-04-08,28.0,28.0,104,1
2021-04-09,23.0,24.0,104,1
2021-04-10,20.0,21.0,104,1
2021-04-11,22.0,22.0,104,1
2021-04-12,36.0,36.0,104,1
2021-04-13,34.0,35.0,104,1
2021-04-14,28.0,28.0,104,1
2021-04-15,30.0,31.0,104,1
2021-04-16,36.0,35.0,104,1
2021-04-17,14.0,16.0,104,1
2021-04-18,43.0,43.0,104,1
2021-04-19,36.0,35.0,104,1
2021-04-20,40.0,39.0,104,1
2021-04-21,36.0,36.0,104,1
2021-04-22,34.0,34.0,104,1
2021-04-23,29.0,29.0,104,1
2021-04-24,25.0,25.0,104,1
2021-04-25,27.0,27.0,104,1
2021-04-26,40.0,40.0,104,1
2021-04-27,31.0,31.0,104,1
2021-04-28,28.0,28.0,104,1
2021-04-29,34.0,34.0,104,1
2021-04-30,30.0,31.0,104,1
2021-05-01,35.0,35.0,104,1
2021-05-02,26.0,28.0,104,1
2021-05-03,29.0,29.0,104,1
2021-05-04,33.0,33.0,104,1
2021-05-05,33.0,32.0,104,1
2021-05-06,29.0,29.0,104,1
2021-05-07,32.0,32.0,104,1
2021-05-08,15.0,16.0,104,1
2021-05-09,32.0,32.0,104,1
2021-05-10,47.0,46.0,104,1
2021-05-11,41.0,41.0,104,1
2021-05-12,16.0,18.0,104,1
2021-05-13,29.0,28.0,104,1
2021-05-14,27.0,26.0,104,1
2021-05-15,26.0,26.0,104,1
2021-05-16,24.0,25.0,104,1
2021-05-17,50.0,50.0,104,1
2021-05-18,29.0,29.0,104,1
2021-05-19,29.0,29.0,104,1
2021-05-20,29.0,28.0,104,1
2021-05-21,29.0,30.0,104,1
2021-05-22,28.0,28.0,104,1
2021-05-23,20.0,20.0,104,1
2021-05-24,44.0,43.0,104,1
2021-05-25,40.0,40.0,104,1
2021-05-26,29.0,29.0,104,1
2021-05-27,43.0,43.0,104,1
2021-05-28,32.0,32.0,104,1
2021-05-29,31.0,31.0,104,1
2021-05-30,21.0,21.0,104,1
2021-05-31,27.0,27.0,104,1
2021-06-01,33.0,32.0,104,1
2021-06-02,36.0,35.0,104,1
2021-06-03,33.0,33.0,104,1
2021-06-04,31.0,32.0,104,1
2021-06-05,30.0,31.0,104,1
2021-06-06,21.0,21.0,104,1
2021-06-07,42.0,41.0,104,1
2021-06-08,38.0,38.0,104,1
2021-06-09,26.0,26.0,104,1
2021-06-10,36.0,36.0,104,1
2021-06-11,36.0,35.0,104,1
2021-06-12,21.0,22.0,104,1
2021-06-13,30.0,30.0,104,1
2021-06-14,31.0,31.0,104,1
2021-06-15,37.0,36.0,104,1
2021-06-16,43.0,42.0,104,1
2021-06-17,36.0,36.0,104,1
2021-06-18,42.0,42.0,104,1
2021-06-19,34.0,35.0,104,1
2021-06-20,17.0,17.0,104,1
2021-06-21,51.0,51.0,104,1
2021-06-22,42.0,42.0,104,1
2021-06-23,42.0,42.0,104,1
2021-06-24,28.0,28.0,104,1
2021-06-25,31.0,30.0,104,1
2021-06-26,24.0,24.0,104,1
2021-06-27,23.0,24.0,104,1
2021-06-28,28.0,29.0,104,1
2021-06-29,33.0,33.0,104,1
2021-06-30,30.0,30.0,104,1
2021-07-01,34.0,34.0,104,1
2021-07-02,27.0,28.0,104,1
2021-07-03,34.0,35.0,104,1
2021-07-04,26.0,26.0,104,1
2021-07-05,33.0,33.0,104,1
2021-07-06,27.0,27.0,104,1
2021-07-07,40.0,39.0,104,1
2021-07-08,35.0,34.0,104,1
2021-07-09,49.0,49.0,104,1
2021-07-10,35.0,35.0,104,1
2021-07-11,20.0,21.0,104,1
2021-07-12,35.0,35.0,104,1
2021-07-13,37.0,36.0,104,1
